--------- beginning of /dev/log/system
I/Genyd   (   56): Genyd running
D/local_opengl(  109): Starting local_opengl
I/Vold    (  106): Vold 2.1 (the revenge) firing up
D/Vold    (  106): Volume usb state changing -1 (Initializing) -> 0 (No-Media)
D/Genyd   (   56): Received Get Capabilities
D/        (   56): Socket deconnection
D/Genyd   (   56): Received Get GenymotionVersion
D/Genymotion(   56): Received Get GenymotionVersion
I/genymotion_audio(  119): Starting pcm server
I/genymotion_audio(  119): out sampling rate 44100
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
W/PackageManager(  288): Not granting permission android.permission.MODIFY_NETWORK_ACCOUNTING to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.BODY_SENSORS in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.android.voicemail.permission.READ_VOICEMAIL in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.FORCE_STOP_PACKAGES to package com.google.android.gms (protectionLevel=2 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.MANAGE_DOCUMENTS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  288): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  288): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.ears.permission.WRITE in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.MEDIA_CONTENT_CONTROL in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.INTERACT_ACROSS_USERS in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.googlenav.friend.permission.OPT_IN in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.apps.maps.permission.PREFETCH in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.REAL_GET_TASKS in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.gm.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.MANAGE_VOICE_KEYPHRASES in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.android.chrome.PRERENDER_URL in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_AUDIO_HOTWORD in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Not granting permission android.permission.STOP_APP_SWITCHES to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x1bbec5)
W/PackageManager(  288): Not granting permission android.permission.STATUS_BAR to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x1bbec5)
W/PackageManager(  288): Not granting permission android.permission.BIND_APPWIDGET to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x1bbec5)
W/PackageManager(  288): Unknown permission com.google.android.launcher.permission.CONTENT_REDIRECT in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.REAL_GET_TASKS in package com.android.vending
W/PackageManager(  288): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0xabec5)
W/PackageManager(  288): Unknown permission android.permission.MANAGE_USERS in package com.android.vending
W/PackageManager(  288): Unknown permission android.permission.INTERACT_ACROSS_USERS in package com.android.vending
W/PackageManager(  288): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.android.vending (protectionLevel=50 flags=0xabec5)
W/PackageManager(  288): Not granting permission android.permission.FORCE_STOP_PACKAGES to package com.android.vending (protectionLevel=2 flags=0xabec5)
W/PackageManager(  288): Not granting permission android.permission.DEVICE_POWER to package com.android.deskclock (protectionLevel=2 flags=0x8be45)
I/EventHub(  288): ignoring event id /dev/input/event4 driver VirtualBox mouse integration
D/EventHub(  288): No input device configuration file found for device 'Sleep Button'.
I/EventHub(  288): New device: id=4, fd=135, path='/dev/input/event1', name='Sleep Button', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
D/EventHub(  288): No input device configuration file found for device 'Power Button'.
I/EventHub(  288): New device: id=5, fd=136, path='/dev/input/event0', name='Power Button', classes=0x1, configuration='', keyLayout='/system/usr/keylayout/Generic.kl', keyCharacterMap='/system/usr/keychars/Generic.kcm', builtinKeyboard=false, usingSuspendBlockIoctl=true, usingClockIoctl=true
E/EventHub(  288): could not get driver version for /dev/input/mouse0, Not a typewriter
I/EventHub(  288): ignoring event id /dev/input/event3 driver ImExPS/2 Generic Explorer Mouse
D/EventHub(  288): No input device configuration file found for device 'AT Translated Set 2 keyboard'.
